product_id,name,template_serial_number,dimensions,final_price,category
1,4915 PRINTY 4.0 CREMA PASTEL C.N 70x25mm,189325,,550.53,"Texto , Printy , 4915 , 4"
1,4915 PRINTY 2.0 NEGRO SIN CART 70x25mm,153886,,294.61,"Texto , Printy , 4915 , 2"
1,4915 PRINTY 2.0 C. ROJO C. NEGRO 70x25mm,118349,,294.61,"Texto , Printy , 4915 , 2"
1,4915 PRINTY 4.0 ROSA PASTEL C.N 70x25mm,189326,,550.53,"Texto , Printy , 4915 , 4"
1,4915 PRINTY 4.0 VERDE PASTEL C.N 70x25mm,189327,,550.53,"Texto , Printy , 4915 , 4"
1,4916 PRINTY 2.0 C.NEGRO C.NEGRO 70x10mm,72642,,497.31,"Texto , Printy , 4916 , 2"
1,4924 PRINTY 4.0 C.NEGRO C.NEGRO 40x40mm,176685,,657.48,"Texto , Printy , 4924 , 4"
1,4924 PRINTY 2.0 C.NEGRO C.NEGRO 40x40mm,177194,,,"Texto , Printy , 4924 , 2"
1,4926 PRINTY 4.0 C. AZUL C. NEGRO 75x38mm,166366,,601.65,"Texto , Printy , 4926 , 4"
1,4926 PRINTY 4.0 C. GRIS C. NEGRO 75x38mm,166324,,601.65,"Texto , Printy , 4926 , 4"
1,4926 PRINTY 4.0 C.NEGRO C.NEGRO 75x38mm,165872,,601.65,"Texto , Printy , 4926 , 4"
1,4926 PRINTY 4.0 C. ROJO C. NEGRO 75x38mm,166367,,601.65,"Texto , Printy , 4926 , 4"
1,4926 PRINTY 2.0 C.NEGRO C.NEGRO 75x38mm,166990,,388.51,"Texto , Printy , 4926 , 2"
1,4927 PRINTY 4.0 C.NEGRO C.NEGRO 60x40mm,187447,,592.93,"Texto , Printy , 4927 , 4"
1,4927 PRINTY 4.0 C. ROJO C. NEGRO 60x40mm,187936,,592.93,"Texto , Printy , 4927 , 4"
1,4941 PRINTY 4.0 C.NEGRO C.NEGRO 41x24mm,139924,,611.57,"Texto , Printy , 4941 , 4"
1,5200 PROF 4.0 METAL C.NEGRO 41x24mm,121366,,1345.58,"Texto , Professional , 5200 , 4"
1,5203 PROFESSIONAL 3.0 NEG C.NEG 49x28mm,74277,,1584.58,"Texto , Professional , 5203 , 3"
1,5203 PROF 4.0 METAL C. NEGRO 49x28mm,120074,,1584.58,"Texto , Professional , 5203 , 4"
1,5204 PROF 4.0 METAL C. NEGRO 56x26mm,119718,,1786.17,"Texto , Professional , 5204 , 4"
1,52045 PROF 4.0 METAL C. NEGRO 45mm,150746,,1953.58,"Texto , Professional , 52045 , 4"
1,5206 PROF 4.0 METAL C. NEGRO 56x33mm,119722,,1863.78,"Texto , Professional , 5206 , 4"
1,5208 PROF 4.0 METAL C.NEGRO 68x47mm,140270,,2502.86,"Texto , Professional , 5208 , 4"
1,5212 PROF 3.0 NEGRO C.NEGRO 116x70mm,103267,,5017.73,"Texto , Professional , 5212 , 3"
